word1,word2,count,field,fielddef
"cluster","cluster",0,19,"Astrophysics-of-Galaxies"
"cluster","radio",0,19,"Astrophysics-of-Galaxies"
"cluster","pulsar",0,19,"Astrophysics-of-Galaxies"
"cluster","array",0,19,"Astrophysics-of-Galaxies"
"cluster","disk",0,19,"Astrophysics-of-Galaxies"
"cluster","galaxy",6,19,"Astrophysics-of-Galaxies
"cluster","jet",0,19,"Astrophysics-of-Galaxies"
"cluster","debri",0,19,"Astrophysics-of-Galaxies"
"cluster","young",0,19,"Astrophysics-of-Galaxies"
"cluster","black",1,19,"Astrophysics-of-Galaxies
"cluster","cloud",1,19,"Astrophysics-of-Galaxies
"cluster","white",0,19,"Astrophysics-of-Galaxies"
"cluster","molecular",0,19,"Astrophysics-of-Galaxies"
"cluster","neutron",0,19,"Astrophysics-of-Galaxies"
"cluster","star",0,19,"Astrophysics-of-Galaxies"
"cluster","dwarf",0,19,"Astrophysics-of-Galaxies"
"cluster","dark",0,19,"Astrophysics-of-Galaxies"
"cluster","formation",0,19,"Astrophysics-of-Galaxies"
"cluster","magellanic",1,19,"Astrophysics-of-Galaxies
"cluster","hole",1,19,"Astrophysics-of-Galaxies
"cluster","data",0,19,"Astrophysics-of-Galaxies"
"cluster","supermassive",1,19,"Astrophysics-of-Galaxies
"cluster","blazar",0,19,"Astrophysics-of-Galaxies"
"cluster","simulation",0,19,"Astrophysics-of-Galaxies"
"cluster","large",0,19,"Astrophysics-of-Galaxies"
"cluster","matter",0,19,"Astrophysics-of-Galaxies"
"cluster","relation",0,19,"Astrophysics-of-Galaxies"
"radio","cluster",0,19,"Astrophysics-of-Galaxies"
"radio","radio",0,19,"Astrophysics-of-Galaxies"
"radio","pulsar",0,19,"Astrophysics-of-Galaxies"
"radio","array",3,19,"Astrophysics-of-Galaxies
"radio","disk",0,19,"Astrophysics-of-Galaxies"
"radio","galaxy",1,19,"Astrophysics-of-Galaxies
"radio","jet",0,19,"Astrophysics-of-Galaxies"
"radio","debri",0,19,"Astrophysics-of-Galaxies"
"radio","young",0,19,"Astrophysics-of-Galaxies"
"radio","black",0,19,"Astrophysics-of-Galaxies"
"radio","cloud",0,19,"Astrophysics-of-Galaxies"
"radio","white",0,19,"Astrophysics-of-Galaxies"
"radio","molecular",0,19,"Astrophysics-of-Galaxies"
"radio","neutron",0,19,"Astrophysics-of-Galaxies"
"radio","star",0,19,"Astrophysics-of-Galaxies"
"radio","dwarf",0,19,"Astrophysics-of-Galaxies"
"radio","dark",0,19,"Astrophysics-of-Galaxies"
"radio","formation",0,19,"Astrophysics-of-Galaxies"
"radio","magellanic",0,19,"Astrophysics-of-Galaxies"
